index,movieid
0,182167
1,182169
2,77
3,116
4,162
5,126088
6,126090
7,126092
8,246
9,295
10,309
11,126096
12,126098
13,126100
14,356
15,182171
16,363
17,182173
18,394
19,446
20,182175
21,473
22,182177
23,496
24,182179
25,182181
26,182183
27,182185
28,601
29,604
30,182187
31,721
32,730
33,744
34,769
35,787
36,791
37,792
38,833
39,847
40,717
41,899
42,900
43,920
44,182189
45,138616
46,182191
47,1
48,1087
49,1107
50,1156
51,1169
52,1186
53,182193
54,1223
55,182195
56,182197
57,138618
58,1280
59,1309
60,1361
61,182199
62,182201
63,1450
64,1462
65,1476
66,1501
67,1519
68,612
69,1582
70,613
71,614
72,1693
73,1738
74,1743
75,1774
76,615
77,616
78,1842
79,617
80,1901
81,2
82,1922
83,3
84,182203
85,182205
86,2102
87,1890
88,2129
89,1900
90,1902
91,2192
92,1903
93,2230
94,2258
95,2309
96,2087
97,182207
98,182209
99,182211
100,182213
101,182215
102,2445
103,182217
104,182219
105,182221
106,2484
107,2499
108,637
109,2538
110,2601
111,2619
112,2630
113,169
114,2725
115,182223
116,182225
117,2776
118,182227
119,182229
120,2824
121,2839
122,170
123,2851
124,182231
125,182233
126,2909
127,638
128,368
129,95052
130,182235
131,3012
132,182237
133,3065
134,3084
135,3112
136,182239
137,369
138,182241
139,377
140,3281
141,3303
142,3315
143,3345
144,237
145,3407
146,3411
147,3429
148,196677
149,3455
150,3473
151,98065
152,3566
153,3607
154,238
155,3671
156,3718
157,3787
158,98173
159,3851
160,3859
161,3944
162,3971
163,4051
164,4073
165,4113
166,4150
167,4111
168,4230
169,4112
170,139849
171,4308
172,4315
173,4347
174,4382
175,139851
176,4454
177,4552
178,129189
179,4114
180,4115
181,718
182,99124
183,100421
184,4702
185,4722
186,4726
187,80713
188,378
189,4779
190,4838
191,100423
192,4884
193,2095
194,4968
195,5003
196,5052
197,5069
198,2096
199,5260
200,5271
201,5453
202,5510
203,5626
204,139853
205,5643
206,5644
207,5659
208,5676
209,2141
210,5731
211,4165
212,5772
213,5783
214,5790
215,5861
216,139855
217,5989
218,1028
219,6029
220,6042
221,6070
222,100426
223,6122
224,6128
225,6195
226,6224
227,100436
228,6269
229,6299
230,6306
231,455
232,4173
233,6414
234,6461
235,196949
236,2157
237,4251
238,4252
239,6606
240,6621
241,197115
242,6674
243,6732
244,184899
245,1029
246,184901
247,6930
248,1030
249,239
250,7096
251,7110
252,7124
253,7166
254,7221
255,240
256,7233
257,7291
258,101068
259,7363
260,7440
261,7478
262,7486
263,7537
264,7669
265,7754
266,7786
267,241
268,242
269,4253
270,8122
271,8134
272,8197
273,8255
274,4277
275,8518
276,8574
277,8650
278,8680
279,8755
280,1163
281,8808
282,197551
283,8960
284,9013
285,25785
286,2166
287,1164
288,639
289,1165
290,1166
291,198119
292,257
293,25996
294,26010
295,26197
296,26304
297,26366
298,26416
299,640
300,26720
301,4278
302,26804
303,26826
304,26870
305,27180
306,27484
307,258
308,27647
309,27724
310,27751
311,27835
312,27862
313,30816
314,30991
315,31413
316,31750
317,32225
318,32318
319,32342
320,32352
321,8769
322,198451
323,651
324,157
325,652
326,27881
327,33847
328,33994
329,34072
330,34153
331,266
332,35347
333,37949
334,38198
335,38473
336,40404
337,653
338,41434
339,41602
340,42591
341,4279
342,4325
343,43351
344,44153
345,44685
346,45581
347,275
348,46034
349,106863
350,276
351,47285
352,4338
353,47719
354,48342
355,4374
356,48970
357,317
358,49917
359,4375
360,4376
361,51457
362,51573
363,4377
364,52784
365,52942
366,52975
367,27882
368,318
369,27884
370,53827
371,53883
372,54505
373,54607
374,55156
375,55207
376,55492
377,55851
378,55955
379,27888
380,27889
381,27891
382,57502
383,57970
384,58084
385,58437
386,2173
387,2197
388,58889
389,59105
390,59136
391,59478
392,59795
393,60393
394,60516
395,60551
396,60684
397,60763
398,61167
399,61406
400,61475
401,62198
402,62208
403,62851
404,62972
405,61110
406,63698
407,64010
408,64167
409,64418
410,65290
411,65359
412,65621
413,158
414,65974
415,66282
416,64918
417,66544
418,66592
419,66801
420,66934
421,159
422,67247
423,67504
424,67850
425,68099
426,68482
427,68533
428,199025
429,69201
430,69241
431,69438
432,69830
433,69904
434,70186
435,664
436,70800
437,2213
438,70964
439,71110
440,71158
441,71472
442,2214
443,2215
444,71817
445,2216
446,67603
447,67607
448,72612
449,72621
450,72733
451,72897
452,72931
453,73276
454,73370
455,73392
456,1244
457,74228
458,2281
459,74675
460,76049
461,2584
462,77154
463,77177
464,77266
465,2585
466,77359
467,77629
468,77734
469,77831
470,77891
471,67620
472,78090
473,78122
474,78235
475,4468
476,160
477,78653
478,4481
479,79136
480,79299
481,79570
482,79765
483,26448
484,79850
485,80054
486,80271
487,80456
488,80560
489,1388
490,80928
491,81000
492,81064
493,26450
494,81700
495,1415
496,82110
497,82175
498,82280
499,82335
500,82595
501,82682
502,82836
503,83138
504,83219
505,83291
506,1416
507,83411
508,83603
509,84230
510,84551
511,84766
512,161
513,84996
514,4611
515,4842
516,86231
517,2646
518,86487
519,86768
520,319
521,86941
522,87186
523,87378
524,87471
525,87644
526,87771
527,87928
528,88017
529,320
530,88166
531,88376
532,321
533,88456
534,322
535,88674
536,88957
537,89215
538,89537
539,89623
540,89664
541,90019
542,90049
543,90206
544,90430
545,90559
546,90647
547,90843
548,90886
549,91229
550,91393
551,91488
552,91511
553,91558
554,91632
555,92128
556,92178
557,92245
558,92475
559,92968
560,93263
561,93437
562,93490
563,93719
564,93988
565,94041
566,94076
567,94130
568,94157
569,94268
570,324
571,94677
572,94739
573,1502
574,94891
575,4843
576,95307
577,95604
578,95856
579,96401
580,96640
581,96679
582,1503
583,1504
584,97397
585,97936
586,98246
587,98385
588,26468
589,99149
590,26553
591,99417
592,26554
593,99677
594,99728
595,99792
596,99807
597,99895
598,99901
599,99960
600,100044
601,100157
602,100183
603,100444
604,100509
605,100745
606,101846
607,80717
608,101940
609,163
610,102327
611,102436
612,102526
613,102821
614,1647
615,103087
616,1648
617,1649
618,103288
619,103296
620,103478
621,1650
622,690
623,26610
624,105011
625,105250
626,105338
627,105663
628,105890
629,26611
